ids	sample1_conditionA_batch1	sample2_conditionA_batch1	sample3_conditionB_batch1	sample4_conditionB_batch1
6ae163e4-2360-4b9f-bd12-edbc66f1d5bc_R2_72	39.0	45.0	38.0	33.0
6c62a21a-4474-463c-8a29-ce74aef52509_R1_73	5.0	3.0	6.0	6.0
6d2db7e5-6936-4398-a572-35ebc4495dde_R2_42	5.0	4.0	3.0	3.0
6d84e3be-5bbc-41f4-95c0-086ee2abaa2c_R2_14	64.0	18.0	43.0	53.0
6ddd4b82-2437-418b-9d8f-3d3b7d0a966c_R1_22	24.0	3.0	0.0	0.0
6df8d75a-b40f-4cc5-9550-e10462d8408a_R1_73	4.0	1.0	5.0	4.0
6e31e923-ece3-4a9b-88e1-81d33129ac2c_R1_103	3.0	2.0	9.0	14.0
6e6991bf-c76b-4b17-b12e-f1213cf17bef_R1_73	4.0	4.0	6.0	11.0
6e749ce2-b5c8-478c-93ef-07ffa2a4f684_chrIS:5290000	57.0	27.0	22.0	33.0
6ee65fa2-00b8-45e4-9498-83fbe7a20b15_R2_32	5.0	2.0	0.0	1.0
6f0169a1-c02d-45eb-8fa0-2fc6deef0c8a_R2_26	6.0	5.0	0.0	2.0
6f072169-2100-491d-9830-90b27d1f4244_R2_53	5.0	1.0	16.0	17.0
70137ed6-6d97-4539-921f-41e4ea64f22d_R1_73	8.0	4.0	11.0	13.0
71413297-65f5-42bf-b429-4b8065a94bf0_R1_22	14.0	8.0	0.0	0.0
71ca2aab-d30b-48e9-86ca-76e75073c02c_R1_92	6.0	4.0	2.0	1.0
720ab52d-7758-4dfc-8911-e9bbf546fbfb_R1_73	2.0	2.0	3.0	4.0
721bf743-a71d-49b6-ab93-1f6e1d97e804_R1_103	2.0	1.0	8.0	7.0
733f7b19-da74-4879-bad6-6dcec526dd0f_R2_14	77.0	50.0	50.0	56.0
745468e3-a2b6-47ba-921d-5ee19828efb5_chrIS:4304000	4.0	0.0	8.0	7.0
748b5bb1-1082-422c-83f7-dd8fdb4af47f_R2_14	148.0	42.0	82.0	127.0
752955b7-a98a-483e-98e6-ce5a8c5d0ad3_R2_53	4.0	2.0	4.0	16.0
7639c592-7e68-48a1-8d16-9e2f071dde54_R1_22	1.0	4.0	1.0	0.0
76d29863-a095-43d9-b5c1-1a335fc6157b_R2_41	27.0	16.0	0.0	0.0
7738aefd-8ccb-47d3-bd72-e13f16f2a1c5_R2_53	35.0	18.0	150.0	197.0
77f8fd9a-6aac-4917-b63d-093456b04436_R2_60	0.0	0.0	4.0	7.0
7827e330-4e3b-44fe-86b9-8aca7e962feb_R2_60	1.0	1.0	25.0	27.0
78433f10-f873-4297-bef2-5f4b3d65b379_R2_53	4.0	1.0	8.0	7.0
7845aaa6-8d14-4c22-825d-ec9d8766d37f_R1_103	11.0	5.0	0.0	3.0
788842d4-3eb1-4587-b12d-85df0e48d1db_R1_23	2.0	2.0	0.0	0.0
78a7740c-9c6e-4c26-9223-8dff502d4ad2_R1_22	255.0	67.0	2.0	4.0
